model,cv_r2_mean,cv_r2_std,test_r2,test_mae,test_rmse
RandomForest,0.38748436327759556,0.14492218704156837,0.7562654677067084,0.1307609153038898,0.3743130668251036
GradientBoosting,0.28925766898869737,0.1854067798906524,0.7411805643880892,0.19115108619977866,0.38572243419929086
XGBoost,0.2661362646241985,0.20913920137693917,0.701491043289566,0.16038309956863767,0.41424296268960686
LinearRegression,0.048949884543727305,0.3129531179004706,-0.18948143640847848,0.3555724198736839,0.8269043759711782
