model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro,test_roc_auc_ovr
XGBoost,0.8007591605349962,0.0287086640190159,0.9661971830985916,0.9557972132146593,0.9884996311578057
GradientBoosting,0.8160655343970848,0.05528085125406139,0.955868544600939,0.9428329653449096,0.98910678810844
RandomForest,0.7115474887494246,0.044835063813020166,0.9539906103286385,0.9389391695600809,0.9861090607459565
LogisticRegression,0.7481346763679154,0.018374297434876615,0.8685446009389671,0.8079761674975935,0.9516258915120371
